State Code,State,2020-21 (in Cr),2021-22 (in Cr),2022-23 (in Cr),2023-24 (in Cr),"2024-25 (till Nov, 2024)"
1,Jammu and Kashmir,3648,4692,5246,6704,4861
2,Himachal Pradesh,7055,8023,8778,9956,7021
3,Punjab,13913,18406,20949,24061,17769
4,Chandigarh,1651,1979,2365,2771,1944
5,Uttarakhand,12339,13680,16845,19231,14070
6,Haryana,54890,68142,86668,102914,78102
7,Delhi,36568,46253,55843,66445,52980
8,Rajasthan,31797,38480,45458,50174,35436
9,Uttar Pradesh,59721,73865,87970,101693,75468
10,Bihar,11638,13534,16548,18021,12760
11,Sikkim,2266,2811,3156,3707,2696
12,Arunachal Pradesh,651,710,1023,1308,765
13,Nagaland,389,420,566,711,426
14,Manipur,392,551,615,670,490
15,Mizoram,257,316,419,500,361
16,Tripura,732,777,884,1053,747
17,Meghalaya,1337,1764,2076,2260,1344
18,Assam,10030,12007,13710,15602,11417
19,West Bengal,39694,47898,58060,62613,44246
20,Jharkhand,20482,27854,32019,34738,23905
21,Odisha,29844,44335,49442,54748,39612
22,Chhattisgarh,24941,29571,31968,34874,24119
23,Madhya Pradesh,27005,31255,36232,42174,29438
24,Gujarat,74346,97155,114221,125168,90838
25,Daman and Diu,305,5,3,3,1
26,Dadra and Nagar Haveli,2349,3141,3771,4333,2896
27,Maharashtra,165308,217993,270346,320117,236089
28,Karnataka,75660,95926,122822,145266,105070
29,Goa,3270,4364,5520,6475,4592
30,Lakshadweep,13,18,21,45,14
31,Kerala,17349,22264,27371,30677,21822
32,Tamil Nadu,69121,85492,104377,121329,86173
33,Puducherry,1646,1824,2373,2636,1893
34,Andaman and Nicobar Islands,255,332,373,428,287
35,Telangana,36346,45081,51831,59942,41065
36,Andhra Pradesh,26163,32710,40232,44298,30056
37,Ladakh,114,207,333,481,345
38,Other Territory,1337,1590,2609,2615,1645
39,Centre Jurisdiction,1541,2121,1941,2507,2045
